preset	crf	vmaf
ultrafast	16.1	99.2123
ultrafast	16.2	99.1875
ultrafast	16.3	99.1529
ultrafast	16.4	99.1064
ultrafast	16.5	99.082
ultrafast	16.6	99.0524
ultrafast	16.7	99.0012
ultrafast	16.8	98.9755
ultrafast	16.9	98.9498
ultrafast	17.0	98.8985
ultrafast	17.1	98.8631
ultrafast	17.2	98.8122
ultrafast	17.3	98.7671
ultrafast	17.4	98.7115
ultrafast	17.5	98.6588
ultrafast	17.6	98.6063
ultrafast	17.7	98.5687
ultrafast	17.8	98.5182
ultrafast	17.9	98.4674
ultrafast	18.0	98.4236
ultrafast	18.1	98.369
ultrafast	18.2	98.3161
ultrafast	18.3	98.2634
ultrafast	18.4	98.211
ultrafast	18.5	98.1589
ultrafast	18.6	98.1072
ultrafast	18.7	98.0558
ultrafast	18.8	98.0047
ultrafast	18.9	97.9538
ultrafast	19.0	97.9028
ultrafast	19.1	97.8422
ultrafast	19.2	97.7888
ultrafast	19.3	97.7119
ultrafast	19.4	97.6571
ultrafast	19.5	97.5965
ultrafast	19.6	97.5305
ultrafast	19.7	97.4709
ultrafast	19.8	97.4186
ultrafast	19.9	97.3513
ultrafast	20.0	97.288
ultrafast	20.1	97.2108
ultrafast	20.2	97.135
ultrafast	20.3	97.0688
ultrafast	20.4	96.9989
ultrafast	20.5	96.9189
ultrafast	20.6	96.8491
ultrafast	20.7	96.7716
ultrafast	20.8	96.7078
ultrafast	20.9	96.6295
ultrafast	21.0	96.553
ultrafast	21.1	96.4756
ultrafast	21.2	96.3982
ultrafast	21.3	96.3207
ultrafast	21.4	96.2433
ultrafast	21.5	96.1658
ultrafast	21.6	96.0884
ultrafast	21.7	96.0109
ultrafast	21.8	95.9335
ultrafast	21.9	95.856
ultrafast	22.0	95.7781
ultrafast	22.1	95.6811
ultrafast	22.2	95.5953
ultrafast	22.3	95.4919
ultrafast	22.4	95.4033
ultrafast	22.5	95.313
ultrafast	22.6	95.2112
ultrafast	22.7	95.1162
ultrafast	22.8	95.0295
ultrafast	22.9	94.9294
ultrafast	23.0	94.8307
ultrafast	23.1	94.7433
ultrafast	23.2	94.6506
ultrafast	23.3	94.5484
ultrafast	23.4	94.4561
ultrafast	23.5	94.3637
ultrafast	23.6	94.2698
ultrafast	23.7	94.1698
ultrafast	23.8	94.0722
ultrafast	23.9	93.9901
ultrafast	24.0	93.8853
ultrafast	24.1	93.7829
